MonitoringSite,obsYear,log_type,28-may,29-may,30-may,31-may,01-jun,02-jun,03-jun,04-jun,05-jun,06-jun,07-jun,08-jun,09-jun,10-jun,11-jun,12-jun,13-jun,14-jun,15-jun,16-jun,17-jun,18-jun,19-jun,20-jun,21-jun,22-jun,23-jun,24-jun,25-jun,26-jun,27-jun,28-jun,29-jun,30-jun,01-jul,02-jul,03-jul,04-jul,05-jul,06-jul,07-jul,08-jul,09-jul,10-jul,11-jul,12-jul,13-jul,14-jul,15-jul,16-jul,17-jul,18-jul,19-jul,20-jul,21-jul,22-jul,23-jul,24-jul,25-jul,26-jul,27-jul,28-jul,29-jul,30-jul,31-jul,01-aug,02-aug,03-aug
East Bay Mainland,2004,Number of Observers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Bay Mainland,2004,Total Effort Hours,,,,,,,,,,,,25,8,,7,16,20,16,15,28,31,34,20,35.5,35,20,16,27.5,9,30,,,,,28,25,,38,34,35,36,20,36.5,27,36,34,36,22,32,30,17.5,11,16,15.5,18,19.5,14,19.5,,,,,,,,,,
East Bay Mainland,2005,Number of Observers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Bay Mainland,2005,Total Effort Hours,,,,,,,,10,14,16.5,16,14,,,18,19,21,21,24,24,24,23,21,24,23,,23,18,12,24,24,24,12,24,,6,,24,24,24,,18,17,24,10,18,10,12,12,7,21,18,,15,15,,,,,,,,,,,,,
East Bay Mainland,2006,Number of Observers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Bay Mainland,2006,Total Effort Hours,,,,,,,,,,,,,,,,,55,55,30,30,55,50,,,55,30,8,50,55,60,50,55,55,55,20,50,50,45,50,55,5,35,50,50,40,45,30,40,10,40,30,40,20,16,,,,,,,,,,,,,,
East Bay Mainland,2007,Number of Observers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Bay Mainland,2007,Total Effort Hours,,,,,,,,,,,,,,,,,8,15,15,12,18,15,12,3,18,25,30,30,30,,20,15,35,35,30,32,32,25,20,6,15,24,30,30,35,35,20,12,28,15,30,40,40,40,35,25,35,15,12,15,16,,,,,,,
East Bay Mainland,2008,Number of Observers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Bay Mainland,2008,Total Effort Hours,,8,10,10,12,5,15,10,18,18,35,40,40,,15,30,25,20,1.5,40,40,45,45,30,40,40,40,40,40,,,50,55,50,18,12,12,15,12,45,50,52,52,52,50,48,50,48,50,14,33,27,15,34,35,28,10,15,,,,,,,,,,
East Bay Mainland,2009,Number of Observers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Bay Mainland,2009,Total Effort Hours,4,9,9,12,4,8,3,12,12,30,30,30,30,30,30,21,,23,30,30,12,35,15,36,34,38,38,43,44,41,44,45,45,40.5,47.5,43,46.5,46.5,47,50,30,43.5,44,41,14.05,44,30,30,15,39,43,47.5,38.25,23,34.5,29,17,20,,,,,,,,,,
East Bay Mainland,2010,Number of Observers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Bay Mainland,2010,Total Effort Hours,,,,,,18,18,24,22,30,36,32,36,14,26,,,,,24,,,42,60,55,51,2,33.5,36,40,40,44,40,38,10,22.5,40,29,40,24,34,40,36,9,20,22,30,28,32,9,,2.5,,9,4,6,2,1,4,,,,,,,,,
East Bay Mainland,2011,Number of Observers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Bay Mainland,2011,Total Effort Hours,,,,,,,,,,,,,,,3,3.5,3.25,3,7,5.5,3,7,32,32,40,32,37,35,17,32,,,,,10,29,7,,14,24,9,,24,23,,0,20,7,11.5,12,4,0,15,,,5,,2,3,,,,,,,,,
East Bay Mainland,2012,Number of Observers,,,,,,,,,,,5,5,5,5,5,5,6,6,5,5,5,5,5,4,5,5,2,6,5,5,4,4,,4,4,4,,4,4,4,4,4,3,4,4,4,2,2,,3,3,4,,,3,4,3,,,,,,,,,,,
East Bay Mainland,2012,Total Effort Hours,,,,,,,,,,,5,5,5,5,5,1,1,5,5,1,5,1,32,32,40,8,8,32,10,35,21,9,,21,2,9,24,24,22,8,16,12,21,26,16,25,4,4.5,,12,2,12,,,6,4,4,,,,,,,,,,,
East Bay Mainland,2013,Number of Observers,,,,,,,,,,,3,3,3,3,3,3,3,3,3,4,4,5,4,5,5,4,4,2,2,2,4,4,2,4,4,4,4,4,3,,3,4,4,4,4,4,0,4,4,0,0,4,,,,,,,,,,,,,,,,
East Bay Mainland,2013,Total Effort Hours,,,,,,,,,,,1.5,7,8,9.5,6.5,9,6,8.25,7.75,4,4,18,20,18,40,10,12,16,12,3,32,5,6,20,20,34,28,33,25,,33,24,26,20,12,33,0,24,11,0,0,12,,,,,,,,,,,,,,,,
East Bay Mainland,2014,Number of Observers,,,,,,,,,,,,,,,5,5,5,,7,7,4,5,,6,6,6,7,7,2,3,5,4,5,5,5,5,3,3,5,,5,5,5,4,33,5,4,4,4,4,4,,4,,,,,,,,,,,,,,,
East Bay Mainland,2014,Total Effort Hours,,,,,,,,,,,,,,,13.5,1.5,15.5,,9.5,7.75,36,45,,19,18,39,45.5,47,16,24,39,34,12,37,34.5,39.5,22.5,22.5,35,,36,24,28,18,12,26,13.5,16,25,12,12,,8,,,,,,,,,,,,,,,
East Bay Mainland,2015,Number of Observers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Bay Mainland,2015,Total Effort Hours,,,,,,,,,,36,33,25,28,19,12.5,10,20.5,19,16.5,4.5,23,18.5,16,32.75,33,20,5.5,40,27.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Bay Mainland,2016,Number of Observers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Bay Mainland,2016,Total Effort Hours,,,,,,,,,,,,,,,,4,15.5,21,35.5,27,38.5,12.5,0,30.5,33.5,51,36.5,51,46,43.5,24.5,14,4,34,16.5,16,,24,10,28.5,32,12,17.5,28.5,26,,,,,,,,,,,,,,,,,,,,,,,
East Bay Mainland,2017,Number of Observers,,,,,,,,3,3,3,3,3,3,3,3,4,4,6,6,6,6,6,6,6,6,6,6,6,6,6,4,5,4,6,5,5,5,5,5,4,4,,0,2,5,5,7,7,9,10,,7,5,5,5,5,,,,,,,,,,,,
East Bay Mainland,2017,Total Effort Hours,,,,,,,,1,6,0,2,4,12,10,7.5,6,12,24,9,34.5,33,22,17,15,18.5,15,1,21.5,21,22.5,9,11,12,20,9,23,21,14.5,11.5,13,4.5,,0,5,17,15,21,7,8.5,23.5,,12,7,3,7,6,,,,,,,,,,,,
East Bay Mainland,2018,Number of Observers,,,,,,5,5,5,5,5,5,5,5,4,6,7,6,6,6,6,6,6,6,6,6,7,6,6,0,6,6,6,5,5,4,4,4,4,4,4,0,4,4,4,4,4,4,4,5,5,6,6,6,6,6,6,,6,,,,,,,,,,
East Bay Mainland,2018,Total Effort Hours,,,,,,4.5,7,0,9,9.5,9.5,19,18.5,14,19.5,14.5,15.5,12,13.5,11,19,19.5,19,22.5,7,6,30,43,0,35,36,38,40,37,22,31,30,28,29,24,0,10,28,25,28,28.5,15.5,18,28,29,22,25,26,27,10,18,,17,,,,,,,,,,0
East Bay Mainland,2019,Number of Observers,,,,,,4,5,5,5,3,5,6,6,6,5,5,8,5,5,5,5,4,5,5,5,4,5,,,,,,,,3,,4,4,8,8,8,8,8,6,6,7,,7,7,7,6,6,6,,,4,,,,,,,,,,,,
East Bay Mainland,2019,Total Effort Hours,,,,,,0.75,1.25,1.75,7.5,1.5,9,10.75,8.25,16,6.75,7.5,13,10.5,2.25,10,36,30,29.5,1.25,24.5,17,33.25,,,,,,,,21,,20,30,25,63.5,49,48,53,27.5,36,31.5,,43,42.5,39,8,24,9,,,18,,,,,,,,,,,,
East Bay Mainland,2020,Number of Observers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Bay Mainland,2020,Total Effort Hours,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Bay Mainland,2022,Number of Observers,,,,,,,,,4,4,4,4,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,2,4,4,4,4,4,2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2,4,4,4,,,,,,,,,,,,,
East Bay Mainland,2022,Total Effort Hours,,,,,,,,,1,2.25,1.25,3.5,4.5,6,7,3,3.5,4,4,2,10,14,28,8,10.5,26,18,2,30,30,15,24,26,1,31,26,14,18,25,3,37,12,1,42,34,22,25,21.5,12.5,10.5,21,8,10,11.5,6.5,,,,,,,,,,,,,
East Bay Mainland,2023,Number of Observers,,,,,,,,,2,2,2,2,2,5,5,5,6,6,5,6,6,6,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4,7,7,7,7,7,7,7,7,7,7,7,4,2,4,2,5,3,4,7,7,,,,,,,,
East Bay Mainland,2023,Total Effort Hours,,,,,,,,,1,6,5,6,1,11,18,21,30,33,47,37,6,18,20,31,30,19,32,21,2,26,13,28,30,27,1,28,12,12,25,30,13,2,12,1,2,22,49,48,40,11,37,10,3,12,1,12,6,1,1,2,,,,,,,,